Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,16,148,4208,28.41,150,0,249085637037,255962123478
20000000,20000342,20000342,1472,27,135,283,19.72,149,0,130601821561,138020027535
50000000,50000665,50000665,1472,30,134,378,19.05,135,0,59191732607,67522918516
100000000,100000674,100000674,1472,14,169,534,86.75,136,0,34124391786,43912978448
200000000,200003305,199998305,1472,103,214,624,108.76,146,0,21740305913,32225954957
300000000,300003654,300002154,1472,87,274,551,113.62,268,0,16662085329,28289344666
400000000,400001254,400001254,1472,165,369,673,86.80,377,0,14674305291,26287260227
500000000,500010163,499995161,1472,297,527,959,85.92,517,0,13125598662,25083931043
600000000,599998635,600004635,1472,589,757,904,50.46,756,0,11804736765,24284437304
700000000,700010126,699996126,1472,658,745,966,35.69,749,0,10653948530,23813227672
800000000,800000609,800004609,1472,674,754,1070,24.74,753,0,9598763956,23392955515
900000000,899999960,899999960,1472,690,755,1220,16.34,754,0,8651260816,23065886712
1000000000,960006091,999990568,1472,1281,1337,1902,15.94,1336,0,8088549939,23077580994
