Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,11,141,236,17.89,150,0,248331732587,255783690159
20000000,20000342,20000342,1472,55,143,2005,33.96,150,0,130690804524,138036351600
50000000,50000662,50000662,1472,33,131,380,13.67,136,0,58477632160,67544422211
100000000,100000141,100000141,1472,14,178,514,92.01,137,0,33825518128,43895336477
200000000,200002601,199998601,1472,79,210,492,109.96,159,0,20446448138,32223701129
300000000,300000530,300000530,1472,122,318,615,115.50,298,0,17560483283,28291510192
400000000,400006316,400000316,1472,168,382,922,88.86,387,0,14192733905,26284760241
500000000,500001697,499994197,1472,321,565,967,79.47,553,0,12905195549,25085267798
600000000,600006698,600000698,1472,610,753,900,50.03,753,0,11773486221,24284674846
700000000,700006485,699995985,1472,646,749,982,37.19,751,0,10596396679,23814852673
800000000,800004889,800004889,1472,671,750,1100,24.80,749,0,9583046109,23392468477
900000000,899998842,899998842,1472,713,755,1331,17.94,754,0,8631560604,23065639883
1000000000,956653325,999995551,1472,1285,1336,1941,17.64,1336,0,7953371778,22977200515
