Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,59,153,247,5.00,153,0,247914919517,255965906123
20000000,20000342,20000342,1472,11,143,366,19.08,152,0,129926680838,138031047408
50000000,50000657,50000657,1472,16,129,422,16.03,136,0,57987924243,67543002847
100000000,100000342,100000342,1472,37,198,699,106.08,153,0,34017216641,43911387876
200000000,200002474,199998474,1472,72,216,529,107.66,161,0,20256345254,32224120330
300000000,300007819,300003319,1472,110,295,573,111.85,284,0,16296662586,28273691197
400000000,400006859,399998858,1472,164,375,683,87.28,385,0,14498379265,26286792960
500000000,500003262,499993262,1472,375,591,951,93.04,576,0,12818841723,25088258158
600000000,600001195,600001195,1472,604,748,895,49.91,747,0,11626402109,24263996279
700000000,700008878,699998378,1472,656,740,848,34.77,739,0,10452040887,23815499773
800000000,800008014,800004014,1472,674,742,1044,23.22,742,0,9481705636,23392630685
900000000,899677140,900001018,1472,551,752,1220,18.06,751,0,8545339050,23071892888
1000000000,957441114,999991107,1472,1282,1332,1407,9.54,1333,0,7888556792,23069284999
