Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,21,136,4163,74.52,149,0,248666395236,255968547839
20000000,20000342,20000342,1472,58,141,509,18.17,151,0,130158891334,138012943276
50000000,50000657,50000657,1472,42,143,565,13.30,138,0,59169863660,67536640197
100000000,100001655,100000655,1472,83,170,529,96.69,130,0,34012123029,43911764033
200000000,200004210,199998209,1472,54,209,489,109.09,145,0,20517681304,32225077009
300000000,300007628,300001628,1472,111,309,655,116.80,286,0,17311688780,28288759333
400000000,400003310,399999309,1472,153,374,860,88.97,378,0,14467590202,26285608967
500000000,500011250,499996249,1472,373,579,918,75.21,575,0,12792043492,25085112881
600000000,600006622,600000622,1472,636,755,906,50.18,754,0,11718256817,24273721612
700000000,700010438,699996438,1472,665,742,951,34.22,749,0,10552120107,23815423679
800000000,800009101,800001101,1472,686,752,1112,24.82,752,0,9611752916,23391078802
900000000,899996951,900001451,1472,697,756,849,15.49,755,0,8612060192,23065675323
1000000000,956652485,999994594,1472,1293,1340,1478,6.24,1341,0,8028773689,23060297674
