Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,109,158,371,11.22,154,0,249008665076,255976165600
20000000,20000342,20000342,1472,45,153,2002,16.73,152,0,130389836828,138023810206
50000000,50000663,50000663,1472,18,137,428,8.77,137,0,58098373527,67540015916
100000000,100000680,100000680,1472,84,185,542,98.91,139,0,34089326815,43908311752
200000000,200002355,199998355,1472,14,218,564,107.75,169,0,20699278789,32223998681
300000000,300002690,300002690,1472,95,288,605,110.74,282,0,16378156725,28289917670
400000000,400005687,399997687,1472,175,372,930,84.90,379,0,14387639746,26287300470
500000000,499989490,499994489,1472,372,595,965,96.60,578,0,12901349803,25084462803
600000000,600003336,600000336,1472,635,754,911,50.24,754,0,11678518165,24285528999
700000000,700003365,699999865,1472,655,741,965,36.36,747,0,10400393953,23816252559
800000000,800009373,800005373,1472,680,744,1201,24.35,743,0,9348514481,23392780475
900000000,900001938,900001938,1472,692,748,1196,13.53,748,0,8240134638,23062864874
1000000000,957694957,999995349,1472,1201,1330,1805,16.97,1330,0,7404055084,23037070843
