Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,18,141,286,17.89,150,0,248609485611,255799307759
20000000,20000344,20000344,1472,11,131,1891,21.05,126,0,130526267472,138040607802
50000000,50000659,50000659,1472,72,126,483,17.58,134,0,58646277722,67532248013
100000000,100000467,100000467,1472,18,177,510,91.82,136,0,34135419007,43911780640
200000000,200001798,199998798,1472,19,210,518,107.78,154,0,21128444649,32227402841
300000000,300004868,300001867,1472,107,292,614,111.67,272,0,17147089284,28269300646
400000000,400002342,400000342,1472,165,371,856,86.83,377,0,14674496229,26289918241
500000000,500002493,499994993,1472,357,553,912,76.31,537,0,13033771924,25066093651
600000000,600004711,600004711,1472,628,761,895,51.19,760,0,11813838651,24285134766
700000000,700010959,700000459,1472,649,744,888,37.11,749,0,10621452228,23812861519
800000000,799997485,800005485,1472,645,745,1053,23.62,745,0,9628716999,23392841966
900000000,900004002,900004002,1472,710,743,883,10.72,743,0,8635975594,23059943074
1000000000,957351211,999994423,1472,1247,1324,1941,18.71,1328,0,7938368351,22857986467
