Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,52,132,520,20.76,149,0,248031511023,255791888365
20000000,20000342,20000342,1472,40,145,2052,60.56,150,0,130408294185,138027476014
50000000,50000654,50000654,1472,62,180,515,98.85,138,0,58984695025,67519642767
100000000,100000640,100000640,1472,15,180,606,96.51,136,0,34179724657,43910339407
200000000,200002915,199998915,1472,73,226,626,105.00,231,0,21546566416,32226808641
300000000,299999096,300002096,1472,75,299,626,111.00,293,0,16671987508,28290067926
400000000,400005279,400001279,1472,197,386,906,85.64,388,0,14664692269,26283866966
500000000,500011144,499996143,1472,480,730,906,64.92,731,0,13122968304,25071820603
600000000,600018125,600000124,1472,600,744,939,51.03,743,0,11866875976,24284455227
700000000,699998474,699994974,1472,626,725,985,33.70,724,0,10548736087,23814984838
800000000,800007403,800007403,1472,667,734,998,23.56,732,0,9570666576,23394501088
900000000,900004948,900004948,1472,703,741,1195,15.75,743,0,8493159434,23065107606
1000000000,957037137,999995752,1472,1294,1331,1894,13.34,1329,0,7646244459,22858443043
