Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,79,156,291,8.77,153,0,249004023520,255969473649
20000000,20000344,20000344,1472,72,129,1965,24.12,118,0,130569240687,138035496873
50000000,50000601,50000601,1472,74,135,516,21.70,136,0,58723863812,67540802600
100000000,100000216,100000216,1472,33,176,532,96.60,136,0,34071529865,43893224800
200000000,200000274,199999274,1472,86,220,657,108.41,161,0,21344913927,32227269630
300000000,299997578,300002078,1472,90,277,547,110.96,273,0,17052773372,28276677799
400000000,400009713,399997713,1472,201,396,986,84.24,399,0,14014004738,26285590166
500000000,499996602,499996601,1472,407,672,901,79.37,673,0,12439829679,25086128242
600000000,599999323,599999323,1472,629,749,897,49.89,748,0,11093528898,24264363365
700000000,700010854,699993354,1472,658,747,1004,36.95,750,0,9653986277,23813846526
800000000,800004957,800008957,1472,670,742,843,23.24,742,0,8433414076,23394999791
900000000,900005377,900000877,1472,655,743,1508,12.29,743,0,7109317409,23065251871
1000000000,957208629,999995910,1472,1269,1330,1502,10.00,1331,0,6480222136,22882565518
