Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,67,153,4079,20.66,151,0,248673240054,255782378360
20000000,20000344,20000344,1472,25,144,537,21.24,150,0,130868069789,138037300161
50000000,50000662,50000662,1472,36,145,747,13.56,140,0,58878017035,67521223720
100000000,100000604,100000604,1472,36,179,523,93.97,136,0,34238994067,43910157251
200000000,200004537,199998537,1472,81,207,596,105.72,139,0,21097421306,32226332530
300000000,300005611,300001111,1472,107,286,593,111.44,278,0,16841785949,28291349078
400000000,400007878,400001878,1472,181,372,927,83.55,383,0,14366438608,26287191799
500000000,500006765,499996765,1472,385,595,902,87.08,584,0,12802444761,25084478203
600000000,599997450,600000450,1472,636,751,887,49.77,750,0,11669014196,24269683123
700000000,699998683,699995183,1472,641,741,954,35.36,741,0,10453394597,23814008362
800000000,800001154,800009154,1472,671,744,907,22.98,743,0,9349693230,23393146519
900000000,900010278,900001278,1472,702,753,903,14.46,754,0,8171056151,23067085885
1000000000,957130934,999990051,1472,1294,1327,1403,10.82,1329,0,7340210725,22881488642
