Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,24,152,4743,43.49,155,0,248671241548,255976874004
20000000,20000344,20000344,1472,25,127,292,19.52,119,0,129839949634,138041939926
50000000,50000579,50000579,1472,34,178,498,90.73,140,0,57692368736,67532055960
100000000,100000603,100000103,1472,112,185,509,99.53,139,0,33087186987,43908482709
200000000,200002741,199998741,1472,104,217,626,107.73,145,0,20525172223,32224099643
300000000,300002182,300002182,1472,83,316,669,117.29,298,0,16165052330,28289918370
400000000,400001713,399999713,1472,227,421,976,90.42,419,0,13349634578,26271192156
500000000,500018681,499996180,1472,457,701,963,80.51,701,0,12090975676,25087017484
600000000,600011590,600002590,1472,613,749,925,49.77,748,0,10825237344,24266273197
700000000,700008202,699997702,1472,637,745,1057,36.82,749,0,9254369478,23816927438
800000000,799998233,800006232,1472,668,750,1143,26.17,749,0,7974583452,23392199959
900000000,900009161,900004661,1472,709,746,818,10.54,745,0,6859048777,23068075194
1000000000,958229111,999995638,1472,1084,1333,1847,17.35,1334,0,6004216557,22984289758
