Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,75,137,4215,33.88,150,0,248608454643,255780248123
20000000,20000342,20000342,1472,11,153,2027,19.72,152,0,130587278892,138010455127
50000000,50000661,50000661,1472,74,126,773,16.43,135,0,58820870469,67544840522
100000000,100000092,100000092,1472,13,184,668,100.61,137,0,34188335777,43911609677
200000000,200000465,199998465,1472,93,208,547,105.27,141,0,20896786247,32226666239
300000000,300000902,300000902,1472,110,289,569,113.83,280,0,16593735163,28284407763
400000000,400011478,399999478,1472,181,385,874,85.44,389,0,14360469116,26288147197
500000000,499989650,499994649,1472,385,578,935,79.74,565,0,12948822986,25083086112
600000000,599943118,600003111,1472,624,757,1052,51.74,756,0,11714731911,24287037592
700000000,700000035,699996535,1472,645,740,872,36.63,740,0,10476090289,23814165756
800000000,800011683,800003683,1472,667,743,844,23.07,742,0,9374965439,23393604362
900000000,899934104,900001599,1472,666,749,1170,13.56,748,0,8221912273,23061585002
1000000000,957715718,999995376,1472,1290,1334,1423,7.48,1334,0,7410450247,22875908244
