Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,65,152,4299,14.76,151,0,248705085352,255967062593
20000000,20000342,20000342,1472,56,146,254,13.67,150,0,130718913630,138205900512
50000000,50000664,50000664,1472,21,131,410,12.65,136,0,58509087239,67539011923
100000000,100001120,100000620,1472,31,188,628,95.23,140,0,34234913281,43912224449
200000000,199999959,199998959,1472,115,249,640,108.27,177,0,23496450876,32222870253
300000000,300009912,300000912,1472,110,288,645,111.66,281,0,16353128950,28288823836
400000000,400008422,399996422,1472,154,371,979,86.67,379,0,14686160849,26284379080
500000000,500001430,499993930,1472,350,597,907,80.01,588,0,12839452468,25089195639
600000000,600007195,600001195,1472,629,749,910,50.01,748,0,11677410752,24283973843
700000000,700010803,699996801,1472,644,739,956,35.58,739,0,10441605160,23815883479
800000000,800000269,800004269,1472,664,745,1152,26.06,744,0,9438261686,23394813509
900000000,900000906,900000906,1472,693,746,834,12.96,748,0,8160936308,23065854874
1000000000,956895426,999997636,1472,1012,1329,1757,15.91,1330,0,7311586553,22879144962
