Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,78,142,297,18.55,150,0,248723926441,255770338525
20000000,20000342,20000342,1472,27,140,243,17.69,150,0,130589332367,138208115670
50000000,50000659,50000659,1472,49,136,810,14.00,136,0,58717698130,67518191429
100000000,100000816,100000316,1472,82,190,548,90.20,152,0,34557415170,43911424521
200000000,200002032,200000032,1472,57,217,507,106.30,143,0,21854443489,32223844770
300000000,300005680,300001180,1472,111,283,637,112.53,273,0,16554932018,28276204296
400000000,400001119,399997119,1472,188,387,953,86.63,388,0,14272052870,26287895082
500000000,499994876,499992376,1472,339,612,908,82.69,605,0,12843379062,25086523004
600000000,600006011,600003011,1472,629,752,904,50.23,750,0,11701232741,24282432009
700000000,700007421,699993421,1472,655,743,860,35.55,749,0,10460422655,23816043963
800000000,800004483,800008483,1472,678,747,859,23.62,746,0,9382181868,23392835069
900000000,900009247,900004747,1472,709,745,815,10.82,744,0,8196476597,23065530441
1000000000,957691618,999995623,1472,1305,1336,1409,6.86,1337,0,7358421836,22883452055
