Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,149,4062,44.61,151,0,248936303351,255943894246
20000000,20000339,20000339,1472,14,154,2062,19.57,151,0,130738160978,138013320831
50000000,50000653,50000653,1472,18,141,417,10.10,137,0,58755082677,67516621888
100000000,100000419,99999919,1472,99,186,697,100.31,137,0,34205096558,43913910797
200000000,199999590,199998590,1472,49,199,569,100.51,133,0,20744219101,32228161161
300000000,300010590,300001590,1472,111,293,611,116.63,280,0,16817993929,28275562589
400000000,400005874,399999874,1472,184,391,930,86.97,394,0,14188765069,26267936591
500000000,500001910,499994409,1472,374,583,956,86.16,574,0,12876355789,25087351443
600000000,599997526,600003526,1472,624,755,909,50.45,755,0,11655755233,24266407153
700000000,700013818,699996317,1472,652,746,868,36.48,750,0,10416137701,23810777048
800000000,800001357,800005357,1472,678,748,865,23.71,747,0,9299048736,23396359877
900000000,900007613,899998612,1472,690,744,814,12.08,744,0,8096945437,23060313959
1000000000,957888332,999988351,1472,1280,1333,1406,9.00,1334,0,7263265468,22907715398
