Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,90,152,4541,37.85,155,0,248496330582,255780866756
20000000,20000344,20000344,1472,90,144,332,18.38,153,0,129335237509,138028793985
50000000,50000661,50000661,1472,47,160,504,71.39,140,0,57797778058,67536914799
100000000,100001015,100000015,1472,28,187,536,100.52,140,0,33082449628,43912628247
200000000,200003721,199998721,1472,79,217,543,109.21,154,0,19777188958,32224652679
300000000,299999012,300002012,1472,83,309,689,115.03,291,0,16162516132,28276514564
400000000,400001985,399999985,1472,204,393,676,89.01,399,0,14372108328,26285932606
500000000,500006234,499996234,1472,417,714,926,80.28,713,0,12071673646,25089752753
600000000,600010749,600004749,1472,636,754,885,50.29,754,0,10868377945,24263725126
700000000,699994782,699998282,1472,648,746,855,36.47,750,0,9387556683,23813499113
800000000,800010324,800006324,1472,666,743,1101,24.62,742,0,8198347530,23392522766
900000000,900006667,900002167,1472,711,749,1199,14.07,749,0,7018441847,23059582594
1000000000,957176809,999992794,1472,1103,1330,1823,15.23,1330,0,6248558854,23051193956
