Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,54,135,4108,23.81,150,0,248495554303,255792105044
20000000,20000342,20000342,1472,16,143,1856,22.67,150,0,130439849880,138028127843
50000000,50000664,50000664,1472,32,133,426,13.45,136,0,58549000691,67539505363
100000000,100000307,100000307,1472,102,195,545,96.48,149,0,34604681856,43912549078
200000000,200001569,199998569,1472,108,206,556,104.36,135,0,20494790921,32222165200
300000000,300003405,300001905,1472,87,295,599,113.85,288,0,16112419225,28291502047
400000000,400012006,400000005,1472,177,377,775,84.53,385,0,14244900415,26282338253
500000000,500009605,499997105,1472,356,590,914,88.36,577,0,12803641085,25083852037
600000000,600004100,600001100,1472,629,754,929,50.26,752,0,11609195207,24289205165
700000000,699998942,699995442,1472,659,745,1049,35.92,749,0,10324922106,23812700892
800000000,800000678,800008678,1472,663,746,836,24.33,745,0,9135802810,23394950326
900000000,900009934,900000934,1472,711,749,1193,14.56,748,0,7914273890,23064729207
1000000000,956489322,999993316,1472,1100,1327,1805,16.31,1329,0,7110593730,22997553475
