Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,22,140,230,19.24,150,0,248560671780,255791825884
20000000,20000338,20000338,1472,28,151,457,6.63,151,0,130553998140,138208373147
50000000,50000658,50000658,1472,102,158,687,65.85,137,0,58606735576,67537090569
100000000,100000351,100000351,1472,89,182,512,96.07,137,0,34281660292,43908438159
200000000,200000729,199998729,1472,109,212,495,102.08,142,0,21524789529,32226426360
300000000,300001878,300003378,1472,110,286,584,113.62,275,0,16772178514,28288609963
400000000,400002258,400000257,1472,162,364,739,87.00,375,0,14563744744,26280474643
500000000,500006739,499994239,1472,365,598,892,86.43,588,0,12770730686,25067124207
600000000,600012048,600000048,1472,636,748,872,49.71,748,0,11711016808,24279752478
700000000,700004352,699997352,1472,638,741,876,36.14,748,0,10511938944,23818647188
800000000,800008898,800004898,1472,662,753,852,25.34,752,0,9419303731,23395783513
900000000,900004603,900000103,1472,696,745,811,11.58,746,0,8278722404,23067917326
1000000000,957135903,999995188,1472,1301,1332,1407,8.06,1332,0,7538574977,23081514156
