Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,78,145,408,16.28,151,0,248396618487,255796876949
20000000,20000340,20000340,1472,76,153,1812,18.63,152,0,130576012860,138037988791
50000000,50000653,50000653,1472,24,131,389,13.64,136,0,58820777369,67539831474
100000000,100000333,100000333,1472,38,191,508,99.40,150,0,34474632310,43893134517
200000000,200004776,199998776,1472,104,211,594,102.28,151,0,21168987515,32224640391
300000000,299996469,300000969,1472,98,287,556,111.03,284,0,16604335520,28291851083
400000000,399997348,399999348,1472,142,372,857,86.10,381,0,14420827949,26286589598
500000000,500009419,499996918,1472,359,598,886,82.37,589,0,12859596907,25084059507
600000000,600007539,600001539,1472,624,749,897,49.89,748,0,11682050219,24287506008
700000000,700006796,699992796,1472,642,741,1030,36.14,748,0,10435519261,23814067490
800000000,800003123,800003123,1472,669,742,1049,24.06,742,0,9326491737,23393650840
900000000,900001508,900001508,1472,692,748,814,11.87,748,0,8169766719,23064046924
1000000000,957141565,999992197,1472,1244,1335,1730,10.00,1335,0,7349965803,22869787104
