Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,27,141,3821,28.77,150,0,248678180771,255791675601
20000000,20000344,20000344,1472,18,142,665,19.92,150,0,130460056724,138035305006
50000000,50000665,50000665,1472,10,131,424,14.00,135,0,58634889210,67516446611
100000000,100002104,100000604,1472,89,182,508,86.80,145,0,34705401106,43902215198
200000000,200000533,199998533,1472,79,235,673,108.79,174,0,22727290367,32226922560
300000000,299998935,300001935,1472,76,288,559,113.86,279,0,16559139221,28291598693
400000000,400007964,399999964,1472,171,379,669,86.29,385,0,14746441279,26288243686
500000000,499997504,499992504,1472,361,589,1263,82.91,580,0,12866851633,25067307077
600000000,600005246,599999246,1472,625,749,899,49.68,749,0,11703842635,24264255189
700000000,700002479,699991979,1472,645,748,1064,37.22,750,0,10460305638,23812390073
800000000,799994020,800006020,1472,677,750,1165,26.65,749,0,9335351003,23392914199
900000000,900001250,900001250,1472,709,744,1308,16.12,744,0,8163365287,23066113603
1000000000,956604177,999994996,1472,1303,1334,1410,7.68,1334,0,7426883716,23052666953
