Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,30,143,4322,25.50,152,0,248200244571,255797307246
20000000,20000344,20000344,1472,54,135,1827,25.98,123,0,129985769116,138034730560
50000000,50000673,50000673,1472,41,126,450,15.62,121,0,57683247479,67544156487
100000000,100000622,100000622,1472,25,178,535,94.02,138,0,33249826286,43913813527
200000000,200003021,199999021,1472,78,216,604,105.09,148,0,20507428336,32225573276
300000000,300006949,300000949,1472,115,298,661,107.81,282,0,17278395550,28291454208
400000000,400009238,399999237,1472,199,405,953,83.42,406,0,14227495543,26289006201
500000000,500009764,499994764,1472,410,633,997,92.37,624,0,12859702260,25090622718
600000000,599996571,600002571,1472,629,750,957,50.75,749,0,11522822519,24264225033
700000000,700012311,699998310,1472,650,738,904,35.23,737,0,10264670826,23812816436
800000000,800002037,800010036,1472,658,740,858,23.62,739,0,9196976313,23391922440
900000000,899994801,899999301,1472,686,744,1302,15.65,746,0,8090624100,23066651438
1000000000,957045906,999992132,1472,1283,1323,1437,12.61,1327,0,7148231237,22875851127
