Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,9,135,301,20.47,151,0,247893889132,255967181637
20000000,20000342,20000342,1472,61,145,1937,20.98,152,0,130243684810,138209173850
50000000,50000659,50000659,1472,51,161,574,82.68,138,0,58082383192,67540551312
100000000,100000876,100000376,1472,22,183,523,96.77,139,0,33337894843,43912702515
200000000,200000566,199998566,1472,86,212,575,100.46,149,0,20918213950,32225482525
300000000,300005765,300002765,1472,91,298,604,111.23,292,0,15948490081,28291367510
400000000,400006759,399996759,1472,187,369,671,83.07,378,0,14546671423,26285546444
500000000,499978530,499993529,1472,409,649,957,95.59,646,0,12744184049,25083127664
600000000,600011742,599999741,1472,626,746,898,50.35,746,0,11539106850,24282670677
700000000,700010854,699996854,1472,653,736,959,34.57,735,0,10253784846,23811452361
800000000,800002172,800006172,1472,679,747,909,25.22,746,0,9186320123,23390992795
900000000,900008645,900004145,1472,691,745,1048,11.49,745,0,7973441236,23064995270
1000000000,957130813,999995861,1472,1287,1330,1454,9.95,1331,0,7270269978,23082564525
