Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,48,157,4293,62.97,154,0,248322006209,255971133078
20000000,20000342,20000342,1472,16,142,244,18.60,152,0,129814834165,138029310600
50000000,50000660,50000660,1472,76,133,307,12.45,138,0,58463842890,67543697569
100000000,100000351,100000351,1472,106,191,638,90.68,152,0,34138908464,43893256478
200000000,200003000,199999000,1472,103,211,572,109.66,154,0,19945718249,32226229401
300000000,299999622,300002622,1472,87,285,609,111.66,275,0,16069232798,28290309115
400000000,400001339,399999339,1472,166,388,954,89.80,392,0,14084722294,26288263481
500000000,500006074,499996074,1472,324,539,950,70.94,528,0,12893869577,25086188404
600000000,600008341,600002341,1472,636,755,896,50.28,753,0,11669059507,24284438683
700000000,700010281,699992781,1472,656,747,861,36.70,750,0,10471417254,23813742310
800000000,800005094,800005094,1472,677,749,889,23.64,748,0,9471741575,23392581081
900000000,900016555,900003055,1472,700,752,1328,17.97,751,0,8521293225,23061328274
1000000000,957802127,999993123,1472,1278,1335,1521,8.12,1336,0,7836121239,23025144812
