Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,28,147,3928,32.08,153,0,248178033677,255791634165
20000000,20000342,20000342,1472,25,143,266,18.28,152,0,129699729422,138029776350
50000000,50000651,50000651,1472,35,140,431,7.81,139,0,57711256269,67543443924
100000000,100000527,100000527,1472,103,194,769,89.54,167,0,34746614405,43910490270
200000000,200002626,199998626,1472,105,216,508,107.90,169,0,20423556523,32226464439
300000000,300002317,300002316,1472,64,292,644,112.61,284,0,15919694216,28270691829
400000000,400011292,399999292,1472,210,398,976,84.01,400,0,13821169297,26270607625
500000000,500004562,499997062,1472,362,581,904,84.08,574,0,12691345768,25085315909
600000000,600009602,600000602,1472,623,754,906,50.48,753,0,11612815147,24284072049
700000000,700008929,699994929,1472,636,745,984,36.52,750,0,10412013972,23814987331
800000000,800006792,800006792,1472,681,758,906,25.67,757,0,9413706250,23393831887
900000000,900004776,900004776,1472,711,749,1227,16.06,747,0,8458021751,23065578800
1000000000,958911645,999992683,1472,1285,1338,1942,13.08,1340,0,7704630082,22884616890
