Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,20,158,4140,79.09,154,0,248184205931,255787084444
20000000,20000340,20000340,1472,81,153,250,5.74,153,0,129806774570,138033258865
50000000,50000662,50000662,1472,75,133,323,12.92,138,0,57955431924,67541243124
100000000,100000942,100000442,1472,67,180,538,89.79,140,0,33728778842,43915841295
200000000,199999934,199998934,1472,15,215,607,104.25,155,0,20741818596,32223350127
300000000,300005612,299999612,1472,96,295,612,113.66,282,0,16285015938,28287447391
400000000,400002783,399998783,1472,183,390,921,86.02,390,0,14007117551,26287434119
500000000,499993603,499996103,1472,387,610,893,81.42,604,0,12555594580,25079998484
600000000,600006432,600000432,1472,641,753,897,49.80,753,0,11603249764,24282511313
700000000,700002791,699992291,1472,658,746,1000,36.36,750,0,10422247043,23816383991
800000000,800013654,800005654,1472,663,750,993,24.60,749,0,9420698814,23395092127
900000000,900006581,900002081,1472,691,752,1220,15.43,753,0,8447357941,23065625725
1000000000,957924799,999995297,1472,1293,1336,1904,12.69,1336,0,7682200607,22875106071
