Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,107,152,4116,11.27,151,0,248615115362,255777928399
20000000,20000342,20000342,1472,27,141,778,18.87,150,0,130374870768,138035036875
50000000,50000652,50000652,1472,57,138,419,11.14,137,0,59185119031,67529162639
100000000,100001709,100000709,1472,74,180,555,90.75,136,0,34114932512,43898594039
200000000,200001705,199998705,1472,64,206,525,107.36,143,0,21161727134,32224812846
300000000,299996107,300002107,1472,89,291,628,117.20,280,0,17132337384,28273787039
400000000,400001051,399999051,1472,180,377,859,84.68,384,0,14263446292,26288285128
500000000,499991931,499994431,1472,315,562,928,83.37,550,0,12982866423,25088406877
600000000,600005666,600002666,1472,621,750,893,49.95,749,0,11780090318,24280556041
700000000,700011634,699997634,1472,638,747,1389,37.07,750,0,10612709132,23816928837
800000000,800006248,800002248,1472,671,742,1007,23.73,742,0,9576787595,23392600075
900000000,900016640,899998640,1472,688,751,1225,19.39,750,0,8592620696,23066983069
1000000000,958118470,999996282,1472,1254,1333,1905,15.72,1333,0,7858698016,22884996632
