Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,19,153,4388,34.79,151,0,248689209755,255769363274
20000000,20000342,20000342,1472,69,144,2103,20.78,150,0,130619352795,138030248360
50000000,50000649,50000649,1472,58,139,463,9.27,137,0,58954314199,67518165685
100000000,100000682,100000682,1472,19,180,519,98.41,136,0,34211078308,43910210924
200000000,200001557,199998557,1472,24,211,541,107.76,156,0,21022838050,32224571468
300000000,300008860,300001359,1472,111,292,604,115.91,278,0,17011028548,28285454474
400000000,400016116,400002115,1472,177,372,912,84.34,382,0,14428240613,26285428002
500000000,500007642,499995139,1472,357,585,903,76.78,579,0,12880671348,25087241752
600000000,600012125,600003125,1472,624,752,883,49.78,751,0,11821423071,24287230875
700000000,699991662,699998662,1472,643,744,1372,38.31,749,0,10601997711,23812915195
800000000,800015488,800007487,1472,672,745,1057,23.58,744,0,9569617819,23395110010
900000000,900005034,900005034,1472,692,748,1197,13.96,748,0,8588636173,23059594993
1000000000,959757828,999991656,1472,1295,1332,1894,17.32,1331,0,8008387631,23053478758
