Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,63,141,3977,25.32,150,0,248486725439,255786844648
20000000,20000340,20000340,1472,62,142,1860,23.30,150,0,130678917069,138026748187
50000000,50000660,50000660,1472,65,136,251,5.39,136,0,58716221122,67541535642
100000000,100000649,100000649,1472,73,173,594,88.71,136,0,34359755790,43911838878
200000000,200002580,199999580,1472,81,217,613,107.88,153,0,21887152554,32225276964
300000000,300003004,300001504,1472,110,283,606,114.51,275,0,16171712090,28289714151
400000000,400011003,399999003,1472,164,372,979,89.04,379,0,14165344402,26290670369
500000000,500009710,499994710,1472,271,500,966,82.65,496,0,13182930126,25076762665
600000000,600013157,600001156,1472,642,755,885,49.87,754,0,11806236307,24283574327
700000000,700003989,700000489,1472,643,745,1025,35.92,749,0,10677991888,23819629240
800000000,800010121,800010121,1472,679,751,1077,23.96,751,0,9628509188,23391203292
900000000,900008472,899994972,1472,702,756,1337,23.49,754,0,8662084530,23071443450
1000000000,955734164,999991878,1472,1280,1335,1905,18.47,1335,0,7889814324,22882900750
