Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,30,152,525,5.00,152,0,248242983146,255788966606
20000000,20000344,20000344,1472,12,137,397,22.45,151,0,130122354761,138029885166
50000000,50000587,50000587,1472,17,173,536,92.07,138,0,58543769721,67517893727
100000000,100000723,100000723,1472,83,181,629,94.68,139,0,33486437696,43906795286
200000000,200002066,199998066,1472,84,245,523,118.48,230,0,21322125540,32224894156
300000000,300003835,300000835,1472,91,303,578,107.76,301,0,16716134894,28288813518
400000000,400003395,399999395,1472,170,386,905,67.67,388,0,14694357988,26289121760
500000000,499996893,499994393,1472,461,729,898,63.44,730,0,13166012504,25086097637
600000000,600007768,600001768,1472,618,728,871,48.38,729,0,11895087972,24283075674
700000000,700012883,699998883,1472,643,730,848,32.98,729,0,10586206086,23815322633
800000000,800011752,800007752,1472,671,737,828,23.11,736,0,9613162414,23394772351
900000000,900004862,900004862,1472,700,741,828,11.22,743,0,8558133014,23071003963
1000000000,956944804,999994721,1472,1300,1327,1878,16.76,1328,0,7810457300,22880509598
