Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,18,140,227,17.72,150,0,248542399274,255795624567
20000000,20000342,20000342,1472,17,141,2103,19.80,150,0,130549295297,138041096075
50000000,50000622,50000622,1472,76,172,530,98.46,135,0,58682425563,67541241675
100000000,100000644,100000644,1472,52,186,855,95.08,153,0,34540851546,43912979396
200000000,200001688,199999688,1472,107,210,504,105.57,141,0,21545542663,32234697366
300000000,299999068,300000568,1472,110,275,609,111.00,263,0,16926324994,28269435075
400000000,400012735,399998735,1472,180,370,622,82.43,382,0,14513978905,26285356407
500000000,499996655,499994155,1472,375,605,882,83.88,597,0,12903725458,25084709403
600000000,600000967,600000966,1472,628,751,898,50.19,750,0,11752011522,24263891962
700000000,700012622,699995121,1472,654,740,980,35.65,739,0,10599572458,23812665160
800000000,800001493,800005493,1472,663,740,1052,24.19,739,0,9614814025,23392860589
900000000,900010879,899997379,1472,711,750,823,12.57,750,0,8596693176,23066236559
1000000000,956765911,999997004,1472,1301,1332,1410,7.48,1331,0,7855614301,22876654967
