Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,106,160,2167,29.72,157,0,249133737371,255777651794
20000000,20000341,20000341,1472,58,140,226,18.25,150,0,130389235425,138043075409
50000000,50000597,50000597,1472,14,141,628,65.68,134,0,58798522104,67538896207
100000000,100000618,100000618,1472,53,189,628,90.13,150,0,35295703524,43893019444
200000000,200002541,199999541,1472,14,237,637,109.48,178,0,23124602253,32226516952
300000000,300004810,300000310,1472,82,293,627,117.20,278,0,16944820683,28289262313
400000000,400005297,399999297,1472,161,368,718,90.79,376,0,14477540686,26273679347
500000000,500005703,499995703,1472,292,527,953,75.23,518,0,13102937431,25091792710
600000000,600012545,600000544,1472,642,758,885,50.79,757,0,11792891625,24272850119
700000000,700004873,699997873,1472,655,743,907,35.13,749,0,10633132068,23812232152
800000000,800009034,800009034,1472,685,748,837,22.98,747,0,9637426134,23394800756
900000000,899999014,899999014,1472,700,752,1333,16.09,751,0,8669268652,23058833253
1000000000,957638831,999994389,1472,1287,1333,1399,9.06,1334,0,7979115718,22887197770
